B1,20171120113303,1,2017,64844,Ke2001,株式会社ホーム企画センター,2,498000,445000,67,17.7,90.9,0,0,0,498000,445000,67,17.7,90.9,0,0,0,400000,360000,67,17.7,90.9,2,800000,80000,498000,445000,67,17.7,90.9,1,498000,53000,498000,445000,67,17.7,90.9,2,996000,106000,498000,445000,67,17.7,90.9,1,498000,53000,498000,445000,67,17.7,90.9,1,498000,53000,498000,445000,67,17.7,90.9,0,0,0,498000,445000,67,17.7,90.9,1,498000,53000,498000,445000,67,17.7,90.9,0,0,0,498000,445000,67,17.7,90.9,0,0,0,498000,445000,67,17.7,90.9,0,0,0
B1,20171120113303,1,2017,64844,Ke2002,株式会社ホーム企画センター,2,40000,0,67,17.7,90.9,2,80000,80000,40000,0,67,17.7,90.9,4,160000,160000,40000,0,67,17.7,90.9,2,80000,80000,40000,0,67,17.7,90.9,6,240000,240000,40000,0,67,17.7,90.9,9,360000,360000,40000,0,67,17.7,90.9,7,280000,280000,40000,0,67,17.7,90.9,10,400000,400000,20000,0,67,17.7,90.9,2,40000,40000,40000,0,67,17.7,90.9,0,0,0,40000,0,67,17.7,90.9,1,40000,40000,40000,0,67,17.7,90.9,2,80000,80000,40000,0,67,17.7,90.9,5,200000,200000
B1,20171120113303,1,2017,22135,Ke1001,有限会社不動産企画ウィル,1,59000,21000,73.2,100,100,3,177000,114000,59000,21000,73.2,100,100,6,354000,228000,59000,21000,73.2,100,100,4,236000,152000,59000,21000,73.2,100,100,6,354000,228000,59000,21000,73.2,100,100,6,354000,228000,59000,21000,73.2,100,100,9,531000,342000,59000,21000,73.2,100,100,9,531000,342000,59000,21000,73.2,100,100,4,236000,152000,59000,21000,73.2,100,100,5,295000,190000,59000,21000,73.2,100,100,1,59000,38000,59000,21000,73.2,100,100,2,118000,76000,59000,21000,73.2,100,100,5,295000,190000
B1,20171120113303,1,2017,22135,Ke1020,有限会社不動産企画ウィル,1,85000,28000,73.2,100,100,2,170000,114000,85000,28000,73.2,100,100,2,170000,114000,85000,28000,73.2,100,100,3,255000,171000,85000,28000,73.2,100,100,2,170000,114000,85000,28000,73.2,100,100,3,255000,171000,85000,28000,73.2,100,100,3,255000,171000,85000,28000,73.2,100,100,3,255000,171000,85000,28000,73.2,100,100,3,255000,171000,85000,28000,73.2,100,100,2,170000,114000,85000,28000,73.2,100,100,0,0,0,85000,28000,73.2,100,100,0,0,0,85000,28000,73.2,100,100,1,85000,57000
B1,20171120113303,1,2017,22135,Ke2002,有限会社不動産企画ウィル,2,20000,0,73.2,100,100,4,80000,80000,20000,0,73.2,100,100,8,160000,160000,20000,0,73.2,100,100,3,60000,60000,20000,0,73.2,100,100,6,120000,120000,20000,0,73.2,100,100,5,100000,100000,20000,0,73.2,100,100,5,100000,100000,20000,0,73.2,100,100,7,140000,140000,20000,0,73.2,100,100,6,120000,120000,40000,0,73.2,100,100,1,40000,40000,20000,0,73.2,100,100,2,40000,40000,20000,0,73.2,100,100,2,40000,40000,20000,0,73.2,100,100,5,100000,100000
B1,20171120113303,1,2017,51709,Ke1001,バリューホーム株式会社,1,80000,31000,60,100,20,2,160000,98000,80000,31000,60,100,20,2,160000,98000,80000,31000,60,100,20,1,80000,49000,80000,31000,60,100,20,1,80000,49000,80000,31000,60,100,20,2,160000,98000,80000,31000,60,100,20,2,160000,98000,80000,31000,60,100,20,4,320000,196000,80000,31000,60,100,20,1,80000,49000,80000,31000,60,100,20,0,0,0,80000,31000,60,100,20,0,0,0,80000,31000,60,100,20,0,0,0,80000,31000,60,100,20,2,160000,98000
B1,20171120113303,1,2017,51709,Ke2001,バリューホーム株式会社,2,667000,600000,60,100,20,0,0,0,667000,600000,60,100,20,2,1334000,134000,667000,600000,60,100,20,4,2668000,268000,667000,600000,60,100,20,1,667000,67000,667000,600000,60,100,20,1,667000,67000,667000,600000,60,100,20,1,667000,67000,667000,600000,60,100,20,1,667000,67000,667000,600000,60,100,20,1,667000,67000,667000,600000,60,100,20,1,667000,67000,667000,600000,60,100,20,1,667000,67000,667000,600000,60,100,20,0,0,0,667000,600000,60,100,20,0,0,0
B1,20171120113303,1,2017,53417,Ke1001,株式会社ホーム企画,1,72000,22000,45,66.7,0,0,0,0,72000,22000,45,66.7,0,0,0,0,72000,22000,45,66.7,0,0,0,0,72000,22000,45,66.7,0,0,0,0,72000,22000,45,66.7,0,4,288000,200000,72000,22000,45,66.7,0,2,144000,100000,72000,22000,45,66.7,0,2,144000,100000,72000,22000,45,66.7,0,5,360000,250000,72000,22000,45,66.7,0,1,72000,50000,72000,22000,45,66.7,0,2,144000,100000,72000,22000,45,66.7,0,1,72000,50000,72000,22000,45,66.7,0,1,72000,50000
B1,20171120113303,1,2017,53417,Ke2001,株式会社ホーム企画,2,777000,680000,45,66.7,0,0,0,0,777000,680000,45,66.7,0,1,777000,97000,777000,680000,45,66.7,0,1,777000,97000,777000,680000,45,66.7,0,0,0,0,777000,680000,45,66.7,0,0,0,0,777000,680000,45,66.7,0,2,1554000,194000,777000,680000,45,66.7,0,1,777000,97000,777000,680000,45,66.7,0,2,1554000,194000,777000,680000,45,66.7,0,1,777000,97000,777000,680000,45,66.7,0,1,777000,97000,777000,680000,45,66.7,0,0,0,0,777000,680000,45,66.7,0,0,0,0
B1,20171120113303,1,2017,68097,Ke1001,株式会社協栄ハウス,1,74000,30000,30.9,90.5,100,6,444000,264000,74000,30000,30.9,90.5,100,6,444000,264000,74000,30000,30.9,90.5,100,6,444000,264000,74000,30000,30.9,90.5,100,7,518000,308000,74000,30000,30.9,90.5,100,6,444000,264000,74000,30000,30.9,90.5,100,3,222000,132000,74000,30000,30.9,90.5,100,10,740000,440000,74000,30000,30.9,90.5,100,6,444000,264000,74000,30000,30.9,90.5,100,6,444000,264000,74000,30000,30.9,90.5,100,2,148000,88000,74000,30000,30.9,90.5,100,1,74000,44000,74000,30000,30.9,90.5,100,2,148000,88000
